tag	en	fr	pt	es	id	ru	zh
mediaTab.saving	Saving...	En train de sauvegarder	Salvando...	Ahorro...	Sedang Menyimpan...	Сохранение...	保存中...
shared.ai	AI	AI	IA	AI	AI	AI	人工智能
wsAudioPlayerZoom.fitToWidth	Fit to Width	Ajuster à la largeur	Ajustar à Largura	Ajustar a la anchura	Sesuaikan lebar	По ширине	适合宽度
cards.settings	Settings	Paramètres	Configurações	Ajustes	Pengaturan	Настройки	设置
profile.additionalSettings	Additional Settings	Paramètres supplémentaires	Definições adicionais	Ajustes adicionales	Pengaturan Tambahan	Дополнительные настройки	附加设置
cards.personalSettings	Personal Settings	Paramètres personnels	Configurações pessoais	Ajustes personales	Pengaturan Pribadi	Персональные настройки	个人设置
hotKey.altKey	Alt	Alt	Alt	Alt	Alt	Alt	转换
toDoTable.speaker	Speaker	Intervenant	Orador	Altavoz	Pembicara	Спикер	语者
findResource.scope	Scope	Champ d'application	Escopo	Ámbito	Jangkauan	Область	范围
voice.scope	Scope of use	Champ d'application	Escopo de uso	Ámbito de uso	Lingkup penggunaan	Сфера использования	使用范围
cards.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
discussionCard.addComment	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
findResource.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
passageDetailArtifacts.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
profile.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
resource.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
stepEditor.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
vProject.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
passageDetailArtifacts.activity	Add Activity	Ajouter une activité	Adicionar Atividade	Añadir actividad	Tambahkan Aktifitas	Добавить активность	添加活动
spelling.addToDict	Add to dictionary	Ajouter au dictionnaire	Adicionar ao dicionário	Añadir al diccionario	Tambahkan ke kamus	Добавить в словарь	添加至词典
discussionList.add	Add Discussion	Ajouter une discussion	Adicionar Discussão	Añadir discusión	Tambahkan Diskusi	Добавить обсуждение	添加讨论
cards.addTeam	Add Team	Ajouter une équipe	Adicionar Equipe	Añadir Equipo	Tambahkan Tim	Добавить команду	添加团队
assignmentTable.addScheme2	Add Assignment Scheme	Ajouter un plan d'affectation	Adicionar Esquema de Atribuição	Añadir esquema de asignación	Tambah Skema Tugas	Добавить схему назначений	添加作业方案
assignmentTable.addScheme	Add Permission Scheme	Ajouter un schéma d'autorisation	Adicionar esquema de permissões	Añadir esquema de permisos	Tambah Skema Perizinan	Добавить схему разрешений	添加权限方案
usertable.addMember	Add Member	Ajouter utilisateur	Adicionar Membro	Añadir miembro	Tambahkan Anggota	Добавить участника	添加成员
planActions.addNote	Add Note	Ajouter une note	Adicionar nota	Añadir Nota	Tambahkan Catatan	Добавить заметку	添加注释
planSheet.addNote	Add Note	Ajouter une note	Adicionar nota	Añadir Nota	Tambahkan Catatan	Добавить заметку	添加注释
transcribeAddNote.addNoteTitle	Add Note	Ajouter une note	Adicionar Nota	Añadir nota	Tambahkan Catatan	Добавить комментарий	添加注释
transcriber.addNote	Add Note	Ajouter une note	Adicionar Nota	Añadir nota	Tambahkan Catatan	Добавить комментарий	添加注释
selectArtifactCategory.addNewCategory	Add New Category	Ajouter une nouvelle catégorie	Adicionar Nova Categoria	Añadir nueva categoría	Tambahkan Kategori Baru	Добавить новую категорию	添加新范畴
usertable.addNewUser	Add New Member	Ajouter un nouveau membre	Adicionar Novo Utilizador	Añadir nuevo miembro	Tambahkan Anggota Baru	Добавить нового пользователя	添加新成员
selectArtifactType.addNewType	Add New Type	Ajouter un nouveau type	Adicionar Novo Tipo	Añadir nuevo tipo	Tambahkan Jenis Baru	Добавить новый тип	添加新类型
planSheet.addPassage	Add Passage	Ajouter un passage	Adicionar Passagem	Añadir pasaje	Tambahkan Bagian	Добавить отрывок	添加片段
workflowSteps.addingStep	Adding Workflow Step:	Ajout d'une étape de workflow :	Adição de etapa de fluxo de trabalho:	Añadir paso de flujo de trabajo:	Sedang Menambahkan Lankah Alur Kerja:	Добавление шага рабочего процесса:	添加工作流步骤：
keyTerms.addTargetWord	Add Translation	Ajouter une traduction	Adicionar Tradução	Añadir traducción	Tambahkan Terjemahan	Добавить перевод	添加译文
import.family	Family Name	Nom	Nome de Família	Apellido(s)	Nama Keluarga	Фамилия	姓
scriptureTableFilter.apply	Apply	Appliquer	Aplicar	Aplicar	Terapkan	Применить	应用
template.apply	Apply	Appliquer	Aplicar	Aplicar	Terapkan	Применить	应用
wsAudioPlayerSegment.apply	Apply	Appliquer	Aplicar	Aplicar	Terapkan	Применить	应用
workflowSteps.preliminaryApproval	Preliminary Approval	Approbation préliminaire	Aprovação Preliminar	Aprobación preliminar	Persetujuan Awal	Предварительное утверждение	初步批准
commentCard.approved	Approved	Approuvé	Aprovado	Aprobado	Disetujui	Одобрено	已批准
commentCard.approve	Approve	Approuver	Aprovar	Aprobar	Setuju	Одобрить	批准
keyTerms.aramaic	Aramaic	Araméen	Aramaico	Arameo	Bahasa Aram	Арамейский	阿拉米文
mediaTab.fileAttached	File already attached	Fichier déjà joint	Arquivo já anexado	Archivo ya adjuntado	Berkas sudah terlampir	Файл уже прикреплен	文件已经附加了
projectDownload.filteredFiles	Filtered Files	Fichiers filtrés	Ficheiros filtrados	Archivos filtrados	Berkas yang Difilter	Отфильтрованные файлы	筛选文件
projectDownload.missingFiles	Missing Files	Fichiers manquants	Ficheiros em falta	Archivos perdidos	Berkas Tidak Ditemukan	Отсутствующие файлы	缺失文件
mediaActions.drag	Drag to reorder	Faites glisser pour réorganiser	Arrastar para organizar	Arrastrar para reordenar	Seret untuk menyusun ulang	Перетащите для изменения порядка	拖动以重新排序
peer.assignment	assignment	affectation	atribuição	asignación	tugas	задание	任务
assignmentTable.title	Assignments	Affectations	Atribuições	Asignaciones	Tugas	Задачи	作业
planTabs.assignments	Assignments	Affectations	Atribuições	Asignaciones	Tugas	Задачи	任务
planSheet.assigned	Assigned	Assigné	Atribuído	Asignado	Ditugaskan	Назначено	已分配
toDoTable.assigned	Assigned	Affecté à	Atribuído	Asignado	Ditugaskan	Назначено	已分配
sortMenu.assignment	Assigned To	Affecté à	Atribuída a	Asignado a	Ditugaskan Kepada	Назначено	已分配到
discussionCard.assign	Assign	Attribuer	Atribuir	Asignar	Tugaskan	Назначить	指定
planActions.assign	Assign	Affecter	Atribuir	Asignar	Tugaskan	Назначить	分配
planTabs.associations	Associations	Associations 	Associações	Asociaciones	Hubungan	Ассоциации	关联
mediaTab.mediaAssociations	Audio Associations	Associations audio	Associações de Áudio	Asociaciones de audio	Hubungan audio	Связи аудио	音频关联
mediaTab.associated	Associated	Associé	Associado	Asociado	Terhubung	Связанные	关联的
mediaActions.attach	Associate	Associé	Associar	Asociar	Hubungkan	Связать	关联
access.back	Back	Précédent	Voltar	Atrás	Kembali	Назад	后去
keyTerms.attribute	Attribute	Attribut	Atributo	Atributo	Sifat	Атрибут	属性
faithbridge.audio	audio	audio	audio	audio	audio	аудио	音频
main.media	Audio	Audio	Áudio	Audio	Audio	Аудио	音频
planSheet.audio	Audio	Audio	Áudio	Audio	Audio	Аудио	音频
planTabs.media	Audio	Audio	Áudio	Audio	Audio	Аудио	音频
shared.mediaAttached	Audio Attached	Audio attachés	Áudio Anexado	Audio Adherido	Berkas Audio Terlampir	Аудио прикреплено	已附加音频
cards.mediaUploaded	Audio Uploaded	Audio téléchargé	Áudio Enviado	Audio cargado	Audio Diunggah	Аудио загружено	音频已上传
passageDetailArtifacts.audioScripture	Audio Scripture	Écriture audio	Áudio Escritura	Audio Escritura	Rekaman Alkitab	Аудио Писание	音频经文
shared.mediaDetached	Audio Detached	Médias Désassocier	Áudio Desanexado	Audio Separado	Berkas Audio Terlepas	Аудио отключено	已附加音频
deleteExpansion.advanced	Advanced	Avancé	Avançado	Avanzado	Advanced	Расширенные	高级
vProject.advanced	Advanced	Avancé	Avançado	Avanzado	Advanced	Дополнительные параметры	高级
planSheet.moveUp	Move up	Avancer	Mover para cima	Avanzar	Pindahkan ke atas	Движение вверх	上移
grid.avg	Avg	l' avarie	Média	Avg	Rata-rata	Средн.	平均：
passageDetailToolbar.add	Passage Detail Toolbar	Barre d'outils pour le détail des passages	Barra de ferramentas de Detalhe da Passagem	Barra de herramientas de detalles del pasaje	Toolbar Detail Bagian	Работа с отрывком	片段详细工具栏
vProject.basic	Basic	Basique	Básico	Básico	Sederhana	Основные	基本
profile.locked	Locked	Verrouillé	Bloqueado	Bloqueado	Terkunci	Заблокировано	锁住
assignSection.delete	Delete	Supprimer	Apagar	Borrar	Hapus	Удалить	删除
cards.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
deleteExpansion.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
discussionMenu.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
invitationTable.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
main.clear	Clear	Effacer	Limpar	Borrar	Hapus	Очистить	清除
mediaActions.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
mediaTab.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
mediaTab.detach	Detach	Détacher	Desanexar	Borrar	Lepaskan	Отсоединить	分离
planActions.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
resource.delete	Delete	Supprimer	Apagar	Borrar	Hapus	Удалить	删除
scriptureTableFilter.clear	Clear	Effacer	Claro	Borrar	Hapus	чистый	清除
usertable.delete	Delete	Supprimer	Excluir	Borrar	Hapus	Удалить	删除
main.clearCache	Clear cache	Vider le cache	Limpar cache	Borrar caché	Bersihkan cache	Очистить кэш	清除缓存
findResource.clearQuery	Clear query	Effacer la requête	Limpar consulta	Borrar consulta	Hapus kueri	Очистить запрос	清除查询
community.deleteItem	Delete Item	Supprimer l'élément	Excluir Item	Borrar elemento	Hapus Item	Удалить элемент	删除此项目
wsAudioPlayer.deleteRegion	Delete Region	Supprimer la région	Excluir Região	Borrar región	Hapus Bagian	Удалить регион	删除段
wsAudioPlayerSegment.removeAll	Clear Segments	Effacer les segments	Limpar Segmentos	Borrar segmentos	Bersihkan Segmen	Очистить сегменты	清除片段
wsAudioPlayer.deleteRecording	Delete Entire Recording	Supprimer l'intégralité de l'enregistrement	Excluir Toda a Gravação	Borrar toda la grabación	Hapus Rekaman Secara Keseluruhan	Удалить всю запись	删除整个录音
profile.deleteUser	Delete User	Supprimer un utilisateur	Excluir Usuário	Borrar usuario	Hapus Pengguna	Удалить пользователя	删除用户
stepEditor.wholebacktranslation	Whole BT	BT completBT complet	BT completo	BT completo	TerBal Utuh	Целый BT	所有回译
wsAudioPlayer.loopon	Loop On	Boucle sur	Loop Ativado	Bucle activado	Putar berulang-ulang	Повтор вкл.	循环开启
wsAudioPlayer.loopoff	Loop Off	Boucle désactivée	Loop Desativado	Bucle desactivado	Berhenti putar berulang-ulang	Повтор выкл.	循环关闭
transcriptionTab.scriptureBurrito	Scripture Burrito	Écriture Burrito	Scripture Burrito	Burrito de las Escrituras	Gulungan Alkitab	Писание Burrito	圣经卷饼
passageDetailArtifacts.find	Find	Rechercher	Localizar	Buscar	Cari	Найти	查找
resource.findNote	Find existing note	Rechercher une note existante	Procurar nota existente	Buscar nota existente	Cari catatan yang sudah ada	Найти существующую заметку	查找现有注释
findResource.findResource	Find Resource	Trouver une ressource	Localizar recurso	Buscar recurso	Cari Sumber	Найти ресурс	查找资源
findResource.findOther	Find: Other	Rechercher : Autre	Localizar: Outros	Buscar: Otros	Cari: Lain-lain	Найти: Другие	查找： 其他
transcriptionTab.changed	Changed	Modifié	Alterado	Cambiado	Sudah berubah	Изменено	已经改变
picker.change	Change	Changement	Alterar	Cambiar	Ubah	Изменить	更改
main.switchUser	Switch User	Changer d'utilisateur	Trocar de usuário	Cambiar de usuario	Ubah Pengguna	Переключить пользователя	切换用户
discussionCard.changeAssignment	Change Assignment	Modifier l'affectation	Mudança de Atribuição	Cambiar la asignación	Ubah Tugas	Изменить назначение	改变任务
picker.changeName	Change Name	Changement de nom	Alterar nome	Cambiar nombre	Ganti Nama	Изменение Имя	更改名称
transcriptionTab.exportSince	Changes since date	Modifications depuis la date	Alterações desde a data	Cambios desde la fecha	Perubahan sejak tanggal	Изменения с даты	自日期以来的变化
transcriptionTab.exportITFtype	Incremental Changes (itf)	Modifications incrémentielles (itf)	Alterações Incrementais (itf)	Cambios incrementales (itf)	Perubahan Bertahap (itf)	Постепенные изменения (itf)	增量变化(itf)
verse.canceling	Canceling verse markup	Annulation du balisage du couplet	Cancelamento da marcação de versos	Cancelación del marcado de versos	Membatalkan markup ayat	Отмена разметки стиха	取消诗句标记
uploadProgress.canceling	Canceling...	Annulation...	Cancelando...	Cancelando...	Sedan membatalkan...	Отмена...	取消中...
access.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
cards.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
invite.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
languagePicker.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
main.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
mediaUpload.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
passageRecord.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
picker.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
profile.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
shared.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
transcribeAddNote.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
transcribeReject.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
transcriptionTab.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отмена	取消
uploadProgress.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
usertable.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
vProject.cancel	Cancel	Annuler	Cancelar	Cancelar	Batal	Отменить	取消
mediaTitle.cancel	Cancel Recording	Annuler l'enregistrement	Cancelar gravação	Cancelar grabación	Batalkan Perekaman	Отмена записи	取消录音
passageDetailArtifacts.canceling	Canceling resource creation	Annulation de la création de ressources	Cancelando criação de recursos	Cancelar la creación de recursos	Membatalkan pembuatan sumber	Отменить создание ресурса	取消资源创建
keyTerms.cancel	Cancel Translation	Annuler la traduction	Cancelar tradução	Cancelar traducción	Batalkan Terjemahan	Отменить перевод	取消翻译
projectDownload.amount	Amount to download	Quantité à télécharger	Quantidade para download	Cantidad a descargar	Jumlah yang akan diunduh	Сумма для загрузки	下载量
findResource.chapter	Chapter	Chapitre	Capítulo	Capítulo	Pasal	Глава	章节
cards.experimentalFeatures	Experimental Features	Fonctionnalités expérimentales	Caraterísticas experimentais	Características experimentales	Fitur Percobaan	Экспериментальные функции	实验功能
shared.uploadSuccess	Upload Successful	Téléchargement réussi	Carregamento bem sucedido	Carga correcta	Pengunggahan Berhasil	Загрузка успешна	上传成功
scriptureTable.loadingTable	Loading data	Chargement des données	Carregando dados	Carga de datos	Memuat data	Загрузка данных	正在加载数据
toDoTable.loadingTable	Loading data	Chargement des données	Carregando dados	Carga de datos	Memuat data	Загрузка данных	正在加载数据
newProject.uploadAudio	Bulk Upload	Téléchargement en masse	Upload a granel	Carga masiva	Unggah file jumlah besar	Массовая загрузка	批量上传
shared.loading	Loading...	Chargement...	Carregando...	Carga...	Memuat...	Загружается...	加载中...
mediaTab.loadingTable	Loading data	Chargement des données	Carregando dados	Cargando datos	Memuat data	Загрузка данных	正在加载数据
faithbridge.loading	Loading result...	Chargement du résultat...	A carregar resultado...	Cargando resultado...	Memuat hasil...	Загрузка результата...	正在加载结果...
passageRecord.loading	Loading...	Chargement...	Carregando...	Cargando...	Sedang memuat...	Загрузка...	加载中...
shared.uploadRights	Upload Rights File	Télécharger le fichier des droits	Upload de ficheiros de direitos	Cargar archivo de derechos	Unggah File Hak Cipta	Загрузить файл с правами	上传权利文件
passageRecord.loadlatest	Load Latest Audio	Charger le dernier fichier audio	Carregar Último Áudio	Cargar audio más reciente	Muat Audio Terbaru	Загрузить последнее аудио	家在最新的音频
mediaUpload.resourceTitle	Upload Resources	Télécharger les ressources	Carregar Recursos	Cargar recursos	Unggah Sumber	Загрузить ресурсы	上传资源
community.loading	Loading:	Chargement :	Carregando:	Cargar:	Memuat:	Загрузка:	正在加载中
passageDetailArtifacts.upload	Uploads	Téléchargements	Uploads	Cargas	Unggahan	Загрузка	上传
filterMenu.category	Category	Catégorie	Categoria	Categoría	Kategori	Категория	范畴
keyTerms.category	Category	Catégorie	Categoria	Categoría	Golongan	Категория	范畴
passageDetailArtifacts.category	Category	Catégorie	Categoria	Categoría	Kategori	Категория	范畴
selectArtifactCategory.artifactCategory	Category	Catégorie	Categoria	Categoría	Kategori	Категория	范畴
category.duplicate	Duplicate Category	Catégorie de duplicata	Categoria duplicada	Categoría Duplicado	Kategori Duplikat	Категория дубликатов	重复类别
category.builtIn	System Categories	category.builtIn Catégories du système	Categorias do sistema	Categorías del Sistema	Kategori Sistem	Системные категории	系统类别
main.helpCenter	Help Center	Centre d'Aide	Central de Ajuda	Centro de ayuda	Pusat Bantuan	Справочный центр	帮助中心
assignSection.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
audacityManager.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
category.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
import.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
passageMedia.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
profile.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
sectionResources.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
shared.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
spelling.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
transcriptionShow.close	Close	Fermer	Fechar	Cerrar	Tutup	Закрыть	关闭
wsAudioPlayerSegment.close	Close	Proche	Fechar	Cerrar	Tutup	Закрыть	关闭
access.logout	Log Out	Déconnexion	Sair	Cerrar la sesión	Keluar	Выйти	登出
userListMode.logOut	Log Out	Déconnexion	Sair	Cerrar la sesión	Keluar	Выйти	登出
main.logout	Log Out	Déconnexion	Sair	Cerrar sesión	Keluar	Выйти	登出
passageDetailArtifacts.projectResourceConfigure	Chunk into Resources	Découpage en ressources	Parte num Recurso	Chunk into Resources	Bagikan menjadi Sumber	Фрагмент в ресурс	分裂到资源
emailUnverified.logout	Logout	Déconnexion	Sair	Cierre de sesión	Keluar	Выход	登出
profile.logout	Logout	Déconnexion	Sair	Cierre de sesión	Keluar	Выйти	登出
languagePicker.codeExplained	Code Explained	Code Expliquer	Código Explicado	Código explicado	Penjelasan kode bahasa	Расшифровка кода	代码说明
template.templateCodes	Template Codes	Modèle de code	Códigos de Modelo	Códigos de la plantilla	Kode templat	Коды шаблонов	模板代码
mediaTab.autoMatch	Auto Match	Correspondance Automatique	Correspondência Automática	Coincidencia automática	Pasangkan Secara Otomatis	Автоматическая Подборка	自动匹配
artifactType.comment	Comment	Remarque	Comentário	Comentario	Catatan	Комментарий	注释
commentEditor.comment	Comment	Remarque	Comentário	Comentario	Catatan	Комментарий	注释
transcriber.comment	Comment	Commentaire 	Comentário	Comentario	Catatan	Комментарий	注释
transcribeReject.comment	Additional Comment	Commentaire supplémentaire	Comentário Adicional	Comentario adicional	Catatan Tambahan	Дополнительный комментарий	额外注释
wsAudioPlayer.beginVoiceConvert	Beginning voice conversion...	Début de la conversion de la voix...	A iniciar a conversão de voz...	Comenzando conversión de voz...	Memulai konversi suara...	Начинаем преобразование голоса...	开始语音转换...
planSheet.firstMovement	Start At	Commencer à	Iniciar em	Comenzar en	Mulai Dari	Начать с	开始于
transcriber.transcribing	Started to transcribe	A commencé à transcrire	Começou a transcrever	Comenzó a transcribir	Sudah mulai menuliskan	Начато транскрибирование	开始听写
grid.startsWith	Starts with	Commence avec	Começa com	Comienza con	Dimulai dengan	Начинается с	起头为
welcome.title	Getting Started	Démarrage	Primeiros passos	Cómo empezar	Memulai	Начало работы	开始使用
consultantCheck.compare	Compare	Comparer	Comparar	Comparar	Bandingkan	Сравнить	比较
tool.teamCheck	Compare	Comparez	Compare	Comparar	Bandingkan	Сравнить	比较
workflowSteps.teamCheck	Compare	Comparer	Comparar	Comparar	Bandingkan	Сравнить	比较
activityState.done	Done	Terminé	Concluído	Completado	Selesai	Готово	完成
passageDetailArtifacts.completed	Completed	Complété	Concluído	Completado	Selesai	Завершено	已完成
transcriber.done	Completed	Terminé	Concluído	Completado	Selesai	Завершён	已完成
profile.addMember	Complete User Profile	Remplir le profil du utilisateur	Completar Perfil do Usuário	Completar perfil de usuario	Lengkapi Profil Pengguna	Заполнить профиль пользователя	完整用户资料
passageRecord.compressed	Compressed	Compressé	Compactado	Comprimido	Dipadatkan	Сжатый	压缩的
tool.consultantCheck	Consultant Check	Vérification du consultant	Verificação do consultor	Comprobación del consultor	Pemeriksaan Konsultan	Проверка консультанта	顾问检查
workflowSteps.consultantCheck	Consultant Check	Contrôle du consultant	Verificação do Consultor	Comprobación del consultor	Pemeriksaan Konsultan	Проверка консультанта	顾问检查
main.terms	Terms of Use	Conditions d'utilisation	Termos de Uso	Condiciones de uso	Ketentuan Penggunaan	Условия использования 	使用条款
passageDetailArtifacts.termsOfUse	Terms of Use	Conditions d'utilisation	Termos de utilização	Condiciones de uso	Ketentuan Penggunaan	Условия использования	使用条款
resource.terms	Terms of use	Conditions d'utilisation	Termos de utilização	Condiciones de uso	Ketentuan penggunaan	Условия использования	使用者條款
main.goOnline	Go Online	Aller en ligne	Ir para online	Conectarse	Bekerja Secara Online	Перейти в режим онлайн	转到在线
main.settings	Settings	Paramètres	Configurações	Configuración	Pengaturan	Настройки	设置
cards.recognizeSpeechSettings	Auto Transcription Settings	Paramètres de transcription automatique	Definições de transcrição automática	Configuración de la transcripción automática	Pengaturan Transkripsi Otomatis	Настройки автотранскрипции	自动转录设置
wsAudioPlayer.recognizeSpeechSettings	Auto Transcription Settings	Paramètres de transcription automatique	Definições de transcrição automática	Configuración de la transcripción automática	Pengaturan Transkripsi Otomatis	Настройки автотранскрипции	自动转录设置
vProject.editorSettings	Editor Settings	Editor Settings	Configurações do Editor	Configuración del editor	Pengaturan Editor	Настройки редактора	编辑器设置
cards.teamSettings	Team Settings	Paramètres de l'équipe	Configurações da Equipe	Configuración del equipo	Pengaturan Tim	Настройки команды	团队设置
viewMode.audioProject	Audio Project Setup	Configuration du projet audio	Configuração de Projeto de Áudio	Configuración del proyecto de audio	Pengaturan Proyek Audio	Настройка аудио проекта	音频项目已创建
